Socola,Bánh gạo,Bánh gạo,Bánh mỳ sandwich,Bánh quy
Bánh bơ,Hạt điều,Bánh bơ,,
Bánh gạo lứt,Socola,Bánh mỳ ăn liền,Nước ngọt,
Nước trái cây hòa tan,Bánh mỳ nướng,,,
Bánh mỳ sandwich,Bánh trái cây sấy,Bánh gạo,Bánh mỳ ăn liền,
Chips khoai tây,Bánh ngô,Bánh ngô,,
Bánh mỳ ăn liền,Kẹo sô cô la,Chips khoai tây,,
Chips khoai tây,Bánh mỳ nướng,Bánh trái cây sấy,Bánh mỳ sandwich,
Bánh quy,Bánh mỳ sandwich,Bánh mỳ sandwich,,
Bánh bơ,Hạt điều,Bánh ngô,Bánh gạo sấy,Bánh mỳ nướng
Bánh quy phô mai,Bánh mỳ ăn liền,,,
Bánh mỳ sandwich,Nước trái cây hòa tan,Bánh mỳ nướng,,
Bánh mỳ ăn liền,Bánh gạo,,,
Bánh quy,Socola,Hạt điều,Bánh quy phô mai,
Nước suối,Bánh ngô,Nước trái cây hòa tan,Nước trái cây hòa tan,Bánh trái cây sấy
Kẹo sô cô la,Chips khoai tây,Bánh gạo lứt,Bánh ngô,Nước ngọt
Chips khoai tây,Bánh quy hỗn hợp,Bánh mỳ ăn liền,Bánh mỳ ăn liền,
Nước suối,Nước suối,,,
Bánh trái cây sấy,Bánh ngô,Bánh mỳ ăn liền,,
Bánh gạo sấy,Socola,Bánh gạo lứt,Bánh gạo sấy,
Bánh ngô,Bánh quy,Nước suối,Bánh quy hỗn hợp,
Bánh mỳ sandwich,Socola,,,
Hạt điều,Bánh quy hỗn hợp,Bánh quy hỗn hợp,Socola,Bánh ngô
Nước suối,,,,
Bánh gạo,Bánh quy,Bánh gạo,Bánh mỳ nướng,
Bánh gạo,,,,
Bánh mỳ nướng,Bánh ngô,,,
Bánh gạo sấy,Bánh quy hỗn hợp,,,
Hạt điều,Kẹo sô cô la,Bánh mỳ ăn liền,Bánh quy,
Bánh bơ,,,,
Bánh gạo sấy,Bánh quy,Bánh gạo,,
Nước suối,Bánh gạo,Bánh gạo,Bánh mỳ ăn liền,Bánh quy phô mai
Nước trái cây hòa tan,Bánh trái cây sấy,Bánh bơ,Bánh gạo,Bánh quy
Socola,,,,
Bánh trái cây sấy,Bánh quy phô mai,Bánh mỳ sandwich,Nước trái cây hòa tan,Bánh gạo
Bánh quy,,,,
Hạt điều,Nước trái cây hòa tan,Bánh gạo lứt,Hạt điều,Kẹo sô cô la
Socola,Nước trái cây hòa tan,Kẹo sô cô la,Bánh mỳ ăn liền,Nước trái cây hòa tan
Nước ngọt,,,,
Bánh quy,Nước ngọt,Bánh gạo lứt,Nước ngọt,
Nước trái cây hòa tan,Bánh mỳ nướng,Bánh trái cây sấy,Socola,
Bánh gạo lứt,Kẹo sô cô la,Bánh bơ,Bánh quy phô mai,Bánh trái cây sấy
Bánh ngô,Hạt điều,Bánh mỳ nướng,,
Hạt điều,Bánh mỳ ăn liền,Bánh mỳ sandwich,Bánh gạo,
Hạt điều,Bánh mỳ sandwich,Bánh gạo,Socola,
Nước ngọt,Nước trái cây hòa tan,,,
Bánh trái cây sấy,Bánh gạo,Bánh quy hỗn hợp,Kẹo sô cô la,Chips khoai tây
Kẹo sô cô la,,,,
Bánh ngô,Bánh quy,Bánh gạo lứt,Bánh mỳ sandwich,Bánh mỳ nướng
Socola,Bánh quy phô mai,Bánh bơ,,
Nước suối,Nước ngọt,,,
Bánh gạo lứt,,,,
Bánh trái cây sấy,Bánh mỳ sandwich,,,
Kẹo sô cô la,,,,
Bánh mỳ ăn liền,Bánh gạo sấy,,,
Chips khoai tây,Bánh quy hỗn hợp,Kẹo sô cô la,Bánh mỳ ăn liền,
Bánh quy hỗn hợp,Hạt điều,,,
Bánh mỳ nướng,Bánh gạo lứt,Kẹo sô cô la,,
Bánh ngô,Hạt điều,,,
Nước suối,Bánh mỳ sandwich,Chips khoai tây,Bánh trái cây sấy,Hạt điều
Kẹo sô cô la,Bánh gạo,Bánh trái cây sấy,,
Bánh quy phô mai,Bánh mỳ ăn liền,,,
Bánh quy hỗn hợp,,,,
Bánh ngô,Kẹo sô cô la,Bánh gạo sấy,Bánh gạo lứt,Bánh trái cây sấy
Nước trái cây hòa tan,Nước ngọt,,,
Hạt điều,Bánh quy phô mai,Nước ngọt,,
Bánh gạo sấy,Bánh quy phô mai,Bánh gạo lứt,Bánh gạo sấy,
Kẹo sô cô la,Bánh gạo sấy,Bánh mỳ sandwich,,
Bánh ngô,Nước trái cây hòa tan,Chips khoai tây,,
Chips khoai tây,Chips khoai tây,,,
Socola,,,,
Socola,Kẹo sô cô la,Bánh gạo,,
Bánh quy phô mai,Bánh bơ,Nước trái cây hòa tan,,
Bánh bơ,Nước ngọt,Nước suối,,
Bánh gạo sấy,Bánh gạo lứt,Socola,,
Bánh mỳ sandwich,,,,
Bánh quy hỗn hợp,Bánh gạo lứt,Nước ngọt,,
Bánh bơ,Chips khoai tây,Bánh gạo,Bánh mỳ sandwich,
Nước suối,Nước ngọt,Bánh quy,,
Hạt điều,Socola,Kẹo sô cô la,Bánh ngô,Socola
Bánh quy phô mai,Bánh trái cây sấy,Bánh gạo,Bánh trái cây sấy,
Bánh gạo lứt,Bánh quy phô mai,,,
Bánh gạo lứt,Nước ngọt,Nước trái cây hòa tan,Bánh mỳ nướng,Bánh gạo lứt
Bánh gạo,,,,
Bánh mỳ nướng,Bánh quy hỗn hợp,Kẹo sô cô la,Bánh quy hỗn hợp,Nước suối
Nước ngọt,Bánh quy hỗn hợp,Nước trái cây hòa tan,Bánh quy,
Bánh bơ,Bánh quy phô mai,Bánh trái cây sấy,,
Socola,,,,
Bánh mỳ nướng,Bánh mỳ ăn liền,Kẹo sô cô la,,
Nước suối,Bánh quy,,,
Bánh mỳ nướng,Bánh quy,Bánh gạo,Bánh mỳ sandwich,
Hạt điều,Bánh ngô,Nước trái cây hòa tan,Bánh mỳ nướng,
Bánh quy phô mai,Bánh mỳ sandwich,,,
Bánh gạo,Bánh gạo sấy,Bánh quy hỗn hợp,Bánh mỳ ăn liền,
Socola,Bánh gạo sấy,Kẹo sô cô la,,
Bánh mỳ sandwich,Hạt điều,,,
Bánh mỳ nướng,Nước ngọt,,,
Nước trái cây hòa tan,Bánh quy phô mai,,,
Chips khoai tây,Bánh gạo,Chips khoai tây,Bánh gạo lứt,Bánh trái cây sấy
Bánh ngô,Nước ngọt,Bánh trái cây sấy,Chips khoai tây,Bánh trái cây sấy
